posicion,familia,puntuacion,p_imagen,p_ficha,p_medidas,p_pcd,p_precio,p_sku,p_estetica,p_stock,motivo,num_medidas,num_sku,diametros,pcds,acabados,marcas,calidad_imagenes,problemas,problemas_globales,estado_final
,wheel-design-022,45.8,2.9,14.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,17,5x120,S,bmw,"mediana 147px, mínima 147px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-028,45.7,2.8,14.0,1.9,5.0,10.0,10.0,2.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x120,MS,bmw,"mediana 142px, mínima 142px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-086,44.9,4.0,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,20,5x112,MB,audi,"mediana 198px, mínima 198px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-080,44.7,3.8,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,17,5x120,MG,bmw,"mediana 192px, mínima 192px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-109,44.6,3.7,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,17,5x112,MB,volkswagen,"mediana 183px, mínima 183px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-098,44.1,3.2,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,21,5x112,MB,volkswagen,"mediana 161px, mínima 161px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-012,44.0,3.1,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MB,volkswagen,"mediana 154px, mínima 154px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-035,44.0,3.1,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MG,mercedes-benz,"mediana 154px, mínima 154px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-093,44.0,3.1,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,17,5x112,MB,volkswagen,"mediana 155px, mínima 155px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-021,43.9,3.0,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x120,MG,bmw,"mediana 151px, mínima 151px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-097,43.8,2.9,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,19,5x112,MB,volkswagen,"mediana 146px, mínima 146px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-016,43.6,2.7,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MG,bmw,"mediana 133px, mínima 133px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-018,43.3,2.4,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 2 imágenes por debajo de 800x800,1,2,20,5x120,B MG,bmw,"mediana 121px, mínima 121px",solo 1 medidas distintas; 2 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,wheel-design-013,43.2,2.3,14.0,1.9,5.0,10.0,10.0,0.0,0.0,Descartada: solo 1 medidas distintas; 1 imágenes por debajo de 800x800,1,1,18,5x112,MG,mercedes-benz,"mediana 116px, mínima 116px",solo 1 medidas distintas; 1 imágenes por debajo de 800x800,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 1 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
,sin-diseno,42.8,0,14.0,3.8,5.0,10.0,10.0,0.0,0.0,Descartada: solo 2 medidas distintas; 2 productos sin imagen,2,2,19/21,5x112,MB,audi,"mediana 0px, mínima 0px",solo 2 medidas distintas; 2 productos sin imagen,precio = escalera fija por diámetro sin PVP verificado; peso = escalera fija por diámetro; 2 fichas con chino del proveedor visible; stock 0 sin seguimiento; transporte no contempla Canarias y contradice «precio cerrado»,Descartada
